"Country"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","43","41","49","40","40","42","44","38","33","31","29","24","23","4","18","9","2","","","",""
"Albania","","96","96","98","98","98","98","99","99","99","98","98","98","95","94","97","96","93","93","90",""
"Algeria","","77","77","92","96","99","99","93","95","96","95","98","96","95","98","94","94","96","93","73","78"
"Andorra","93","94","95","94","90","88","90","91","89","82","86","82","86","80","","","","","","",""
"Angola","41","45","35","30","26","26","","","","","","","","","","","","","","",""
"Antigua and Barbuda","78","80","95","95","68","84","99","87","90","89","92","94","83","78","68","46","","","","",""
"Argentina","71","84","99","89","88","87","96","83","89","91","94","96","88","84","91","88","93","80","83","56","56"
"Armenia","","96","96","97","97","97","97","97","97","98","97","96","94","93","85","92","94","93","95","96","94"
"Australia","94","94","93","93","94","93","93","92","91","90","88","82","80","89","87","85","85","","","",""
"Austria","84","84","84","84","89","88","87","82","78","73","69","64","62","56","61","54","47","46","39","34","35"
"Azerbaijan","79","97","96","97","98","98","98","98","95","92","89","83","79","75","68","67","67","66","67","65",""
"Bahamas","","83","69","76","74","76","72","69","73","79","78","76","80","84","88","88","95","","","",""
"Bahrain","99","99","99","99","99","99","99","99","99","98","98","99","97","99","99","99","99","99","97","99","92"
"Bangladesh","93","93","93","93","92","90","89","82","41","","","","","","","","","","","",""
"Barbados","78","77","74","77","87","89","91","89","90","94","96","97","97","96","94","98","99","71","41","12",""
"Belarus","98","98","98","98","98","99","98","99","97","99","99","99","99","99","95","98","98","98","98","97","92"
"Belgium","","85","85","85","85","85","85","85","85","83","83","83","81","78","78","","","","","",""
"Belize","87","95","91","88","96","95","92","92","93","98","91","92","90","89","92","87","","","","",""
"Bhutan","92","92","91","99","90","94","92","89","90","95","85","79","72","","","","","","","",""
"Bolivia (Plurinational State of)","46","44","38","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","","76","76","80","78","88","92","93","94","88","91","88","92","95","93","90","88","85","90","86","74"
"Botswana","66","76","74","74","74","80","85","83","","","","","","","","","","","","",""
"Brazil","44","54","76","76","77","80","89","69","70","71","53","55","56","49","55","61","68","74","80","95","95"
"Brunei Darussalam","97","98","98","98","97","97","96","92","96","93","93","99","90","92","94","95","97","96","96","95","95"
"Bulgaria","84","95","87","92","88","87","89","94","94","94","96","93","94","94","93","92","91","89","79","85","83"
"Burkina Faso","71","71","71","65","59","50","17","","","","","","","","","","","","","",""
"Burundi","83","80","77","75","72","65","60","51","","","","","","","","","","","","",""
"Cabo Verde","86","91","88","85","92","95","79","89","94","99","","","","","","","","","","",""
"Cambodia","80","82","70","72","67","61","62","52","41","","","","","","","","","","","",""
"Cameroon","28","","","","","","","","","","","","","","","","","","","",""
"Canada","83","87","87","87","86","86","86","86","83","","","","","","","","","","","",""
"Chile","83","91","93","90","87","89","88","78","74","77","84","89","89","95","95","96","96","","","",""
"China","99","98","99","99","99","99","99","99","99","99","99","98","95","92","94","84","","","","",""
"Colombia","88","89","88","89","87","86","88","72","80","76","74","71","70","93","85","73","70","70","93","83","84"
"Congo","29","9","","","","","","","","","","","","","","","","","","",""
"Cook Islands","","98","99","95","90","95","98","95","98","96","98","61","95","98","99","97","86","88","61","50","70"
"Costa Rica","93","93","93","93","87","90","90","92","95","80","79","84","89","","","","","","","",""
"Croatia","","95","95","95","96","96","97","97","97","98","98","98","98","98","98","98","98","98","98","98",""
"Cuba","98","99","99","99","99","99","98","97","96","95","98","95","98","99","97","53","","","","",""
"Cyprus","","88","88","88","88","88","88","88","88","88","88","88","89","93","","","","","","",""
"Czechia","","84","84","90","93","99","96","99","99","98","98","98","98","98","98","98","98","98","98","98","98"
"Democratic People's Republic of Korea","99","98","99","98","98","85","76","76","76","76","76","75","75","","","","","","","",""
"Denmark","90","90","90","88","85","80","84","86","87","86","85","85","87","88","91","91","88","88","92","87",""
"Djibouti","60","81","81","81","81","82","82","82","82","","","","","","","","","","","",""
"Dominica","90","92","81","81","92","94","89","91","94","94","95","95","95","95","99","99","99","99","99","62",""
"Dominican Republic","55","60","31","","","","","","","","","","","","","","","","","",""
"Ecuador","70","76","74","73","64","76","59","70","81","92","91","99","","","","","","","","",""
"Egypt","94","94","94","94","96","92","93","96","92","97","97","96","96","97","97","97","96","97","96","99","97"
"El Salvador","56","87","85","86","87","88","85","85","95","81","78","82","79","86","89","85","80","77","","",""
"Eritrea","85","85","85","88","88","88","","","","","","","","","","","","","","",""
"Estonia","87","90","88","91","92","92","93","92","94","95","95","96","97","96","98","98","97","96","94","84","89"
"Eswatini","70","75","75","70","76","83","89","89","52","92","99","99","99","99","99","99","99","99","99","",""
"Ethiopia","46","41","","","","","","","","","","","","","","","","","","",""
"Fiji","","94","94","94","94","94","94","94","94","94","94","94","94","94","94","74","","","","",""
"Finland","93","93","93","92","85","","","","","","","","","","","","","","","",""
"France","","83","83","80","80","79","77","75","72","67","61","","","","","","","","","",""
"Gambia","","61","71","68","79","81","73","53","56","","","","","","","","","","","",""
"Georgia","77","97","96","90","85","91","87","89","79","77","84","71","87","92","88","87","75","57","40","8",""
"Germany","","93","93","93","93","93","93","93","93","93","93","93","92","92","90","91","89","83","77","",""
"Ghana","79","83","83","83","75","63","67","54","52","","","","","","","","","","","",""
"Greece","83","83","83","83","83","83","83","83","83","77","77","77","77","77","","","","","","",""
"Grenada","79","82","74","79","85","89","92","85","75","85","86","78","86","86","87","81","61","68","74","",""
"Guatemala","79","78","76","81","65","","","","","","","","","","","","","","","",""
"Guyana","97","92","84","93","94","95","91","95","90","84","82","84","84","90","74","72","63","71","80","88",""
"Haiti","41","41","38","25","26","","","","","","","","","","","","","","","",""
"Honduras","79","85","94","","","","","","","","","","","","","","","","","",""
"Hungary","","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Iceland","","94","95","95","95","94","93","94","97","90","92","93","94","95","93","90","89","92","","",""
